"relative_path","status","category","size_bytes","note"
".env.example","active","misc","228","Active environment template for optional HF and W&B credentials plus reproducibility defaults."
".pytest_cache\.gitignore","active","misc","39","Repository artifact reviewed during the PM audit."
".pytest_cache\CACHEDIR.TAG","active","misc","191","Repository artifact reviewed during the PM audit."
".pytest_cache\README.md","active","doc","310","Documentation artifact in the current workspace."
".pytest_cache\v\cache\lastfailed","active","misc","16393","Repository artifact reviewed during the PM audit."
".pytest_cache\v\cache\nodeids","active","misc","23885","Repository artifact reviewed during the PM audit."
"archive\20260304_222305\00_repo_audit_and_cleanup.ipynb","active","notebook","3027","Repository artifact reviewed during the PM audit."
"archive\20260304_222305\CLEANUP_LOG.md","active","doc","1518","Documentation artifact in the current workspace."
"archive\20260304_222305\CLEANUP_PLAN.md","active","doc","3171","Documentation artifact in the current workspace."
"archive\20260304_222305\CONTEXT_HANDOVER.md","active","doc","6646","Documentation artifact in the current workspace."
"archive\20260304_222305\DATASET_ALLOWLIST_AND_LICENSE_NOTES.md","active","doc","2514","Documentation artifact in the current workspace."
"archive\20260304_222305\eval_gates.yaml","active","yaml","446","Current configuration or metadata artifact in the workspace."
"archive\20260304_222305\FINAL_SUMMARY.md","active","doc","3530","Documentation artifact in the current workspace."
"archive\20260304_222305\LOCAL_DRY_RUN_REPORT.md","active","doc","3116","Documentation artifact in the current workspace."
"archive\20260304_222305\MANUAL_RUNPOD_HANDOFF.md","active","doc","2237","Documentation artifact in the current workspace."
"archive\20260304_222305\README_CURRENT_STATE.md","active","doc","1639","Documentation artifact in the current workspace."
"archive\20260304_222305\REPO_INVENTORY.md","active","doc","3154","Documentation artifact in the current workspace."
"archive\20260304_222305\REQUIRED_INPUTS.md","active","doc","1364","Documentation artifact in the current workspace."
"archive\20260304_222305\RUNPOD_NEXT_STEPS_DETAILED_REPORT.md","active","doc","4521","Documentation artifact in the current workspace."
"archive\20260304_222305\SOURCE_REGISTRY.md","active","doc","1604","Documentation artifact in the current workspace."
"archive\20260304_222305\train_dpo_qwen35_4b_unsloth.yaml","active","yaml","1293","Current configuration or metadata artifact in the workspace."
"archive\20260304_222305\train_sft_qwen35_4b_unsloth.yaml","active","yaml","2085","Current configuration or metadata artifact in the workspace."
"archive\20260304_222305\WHAT_STILL_CAN_FAIL.md","active","doc","1320","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_nested\output\full_run_codex_spark_xhigh\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_nested\output\full_run_codex_spark_xhigh\run_manifest.json","active","json","28427","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_nested\output\full_run_continue_v13_strict\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_nested\output\full_run_continue_v13_strict\run_manifest.json","active","json","28493","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\category_manifest.json","active","json","640","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\final_identity_report.md","active","doc","1576","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\language_manifest.json","active","json","683","Current configuration or metadata artifact in the workspace."
