relative_path,status,category,size_bytes,note
.env.example,active_scaffold,misc,228,Active environment template for optional Hugging Face and W&B credentials plus reproducibility defaults.
.pytest_cache/.gitignore,cache,misc,39,Runtime/test/cache artifact; no authoritative project behavior beyond local tooling state.
.pytest_cache/CACHEDIR.TAG,cache,misc,191,Runtime/test/cache artifact; no authoritative project behavior beyond local tooling state.
.pytest_cache/README.md,cache,doc,310,Runtime/test/cache artifact; no authoritative project behavior beyond local tooling state.
.pytest_cache/v/cache/lastfailed,cache,misc,16393,Runtime/test/cache artifact; no authoritative project behavior beyond local tooling state.
.pytest_cache/v/cache/nodeids,cache,misc,23885,Runtime/test/cache artifact; no authoritative project behavior beyond local tooling state.
archive/20260304_222305/00_repo_audit_and_cleanup.ipynb,archived_historical,notebook,3027,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/CLEANUP_LOG.md,archived_historical,doc,1518,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/CLEANUP_PLAN.md,archived_historical,doc,3171,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/CONTEXT_HANDOVER.md,archived_historical,doc,6646,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/DATASET_ALLOWLIST_AND_LICENSE_NOTES.md,archived_historical,doc,2514,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/eval_gates.yaml,archived_historical,yaml,446,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/FINAL_SUMMARY.md,archived_historical,doc,3530,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/LOCAL_DRY_RUN_REPORT.md,archived_historical,doc,3116,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/MANUAL_RUNPOD_HANDOFF.md,archived_historical,doc,2237,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/README_CURRENT_STATE.md,archived_historical,doc,1639,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/REPO_INVENTORY.md,archived_historical,doc,3154,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/REQUIRED_INPUTS.md,archived_historical,doc,1364,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
